lsoa2011,total,White,Gypsy / Traveller / Irish Traveller,Mixed / Multiple ethnic group,Asian / Asian British: Indian,Asian / Asian British: Pakistani,Asian / Asian British: Bangladeshi,Asian / Asian British: Chinese,Asian / Asian British: Other Asian,Black / African / Caribbean / Black British,Other Ethnic Group
E01010779,1420,1310,0,39,6,23,0,4,3,18,17
E01010781,1501,1378,0,52,6,14,4,9,12,6,20
E01010783,1571,1436,0,29,22,37,3,7,9,6,22
E01010586,1600,1576,0,11,1,5,0,2,0,1,4
E01010587,1859,1688,0,24,46,56,10,2,6,4,23
E01010588,1665,1488,0,24,21,91,3,4,6,7,21
E01010589,1516,1486,0,10,0,15,0,2,2,1,0
E01010591,1524,1377,2,34,19,55,0,3,13,11,10
E01010593,1768,1703,0,33,0,23,0,2,0,6,1
E01010596,1462,1354,0,27,10,33,11,4,10,7,6
E01010854,1756,1683,0,21,4,24,0,6,4,7,7
E01010855,1755,1698,0,18,5,11,0,0,8,3,12
E01010856,1601,1550,0,14,7,7,6,0,1,12,4
E01010857,1580,1523,1,19,5,4,0,0,9,8,11
E01010858,1584,1555,0,14,9,1,0,0,0,3,2
E01010861,1837,1786,0,26,6,10,0,1,1,6,1
E01010603,1646,1411,1,51,52,70,8,9,6,26,12
E01010604,1809,1567,0,24,53,78,12,5,11,20,39
E01010605,1541,1343,1,60,7,46,12,9,8,47,8
E01010775,1849,1514,0,36,106,77,14,9,27,41,25
E01010778,1876,1543,2,64,52,85,16,6,12,47,49
E01010789,1799,1066,0,58,35,465,108,4,30,20,13
E01010791,1747,712,0,42,63,773,109,4,20,21,3
E01010792,1876,523,0,42,64,1027,130,4,36,25,25
E01010793,1953,547,0,54,68,994,44,18,38,55,135
E01010652,1554,1479,0,23,10,13,0,0,1,22,6
E01010653,1572,1406,0,44,19,22,8,1,7,31,34
E01010655,1446,1312,0,63,6,19,3,6,4,21,12
E01010656,1507,1306,0,42,23,87,19,2,6,17,5
E01010657,1542,1422,0,51,11,28,12,4,3,5,6
E01010649,1395,1303,0,28,3,32,0,0,12,17,0
E01010650,1647,1462,1,39,4,28,13,15,7,66,12
E01010654,1398,1299,0,43,5,24,0,6,0,18,3
E01010826,1468,971,2,33,11,336,42,5,13,36,19
E01010597,1518,1072,1,69,47,107,92,5,21,32,72
E01010598,1751,1254,1,48,56,281,24,1,34,18,34
E01010599,1376,670,0,63,148,205,137,4,46,26,77
E01010600,1433,590,0,31,292,214,135,1,32,39,99
E01010602,1549,1061,0,56,88,167,97,5,27,19,29
E01010670,1699,639,0,69,94,791,10,4,52,16,24
E01010671,1694,420,0,28,89,1052,17,1,41,14,32
E01010673,1816,327,0,57,22,1262,19,3,83,10,33
E01010675,1990,767,0,71,81,970,5,1,46,29,20
E01010669,1934,635,11,58,33,1027,33,6,46,46,39
E01010674,1627,589,10,71,27,806,15,1,32,25,51
E01010677,2129,724,6,81,23,1055,30,2,123,42,43
E01010805,1604,543,6,51,58,861,4,15,38,15,13
E01010590,1796,1715,2,26,9,29,0,3,4,3,5
E01010592,1460,1374,0,39,5,16,5,0,3,16,2
E01010594,1690,1616,0,36,10,7,1,4,8,5,3
E01010595,1799,1690,0,31,15,20,0,8,3,28,4
E01010601,1728,1498,0,36,31,120,17,0,6,19,1
E01010651,1521,1309,2,31,30,106,18,1,14,8,2
E01010825,1346,1104,1,42,13,125,11,8,5,19,18
E01010827,1322,988,0,29,25,216,19,3,19,13,10
E01010804,2330,139,0,17,91,1924,19,1,45,28,66
E01010806,1581,359,0,29,36,1048,2,1,58,31,17
E01010807,2094,360,0,47,71,1413,14,3,42,43,101
E01010808,2275,127,5,44,63,1933,11,4,38,13,37
E01010809,2235,157,0,34,61,1839,7,1,97,14,25
E01010676,2439,180,0,41,127,1986,14,10,59,14,8
